Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_alexnet_async_batch128,1,14.184899999999999,30.4339,20.347099999999998,28.77566666666667,39.1976,11421
cifar10_alexnet_async_batch128,2,15.9629,32.8397,23.3857,28.80933333333333,38.3619,11547
cifar10_alexnet_async_batch256,1,14.3887,30.9783,22.5615,28.06011111111111,39.4646,11533
cifar10_alexnet_async_batch256,2,13.2811,34.563199999999995,20.6597,30.709222222222223,42.6193,11468
cifar10_alexnet_async_batch32,1,15.9438,30.3797,25.6753,24.09788888888889,38.8928,41199
cifar10_alexnet_async_batch32,2,14.3595,29.783099999999997,20.551,31.233,44.494800000000005,41130
cifar10_alexnet_async_batch512,1,13.6187,35.9566,22.7737,30.89311111111111,45.339400000000005,11421
cifar10_alexnet_async_batch512,2,17.132,34.299099999999996,24.4528,32.13477777777778,51.6175,11416
cifar10_alexnet_async_batch64,1,14.1407,36.4561,22.8555,34.594,51.3785,41515
cifar10_alexnet_async_batch64,2,14.0752,30.9245,22.220299999999998,27.288444444444444,36.3614,41456
cifar10_alexnet_async_dataFormat,1,13.7363,34.0997,20.4862,30.782222222222224,45.9498,11420
cifar10_alexnet_async_dataFormat,2,14.080200000000001,28.5077,19.591900000000003,29.732,41.2914,11418
cifar10_alexnet_async_optMomentum,1,14.3811,36.8104,21.732200000000002,31.043444444444447,41.2051,11785
cifar10_alexnet_async_optMomentum,2,13.3028,37.814,19.4814,34.440333333333335,41.2217,11782
cifar10_alexnet_async_optRmsprop,1,15.4657,37.6888,22.511200000000002,34.291555555555554,52.0841,41865
cifar10_alexnet_async_optRmsprop,2,13.4854,38.2204,20.8549,35.23911111111111,41.9711,41863
cifar10_alexnet_async_use_fp16,1,19.1516,4913.023099999999,4915.0381,19.351222222222223,4922.714099999999,113793
cifar10_alexnet_async_use_fp16,2,18.360599999999998,4845.1364,4951.7291,20.83277777777778,4955.864,113744
cifar10_alexnet_async_winograd,1,14.132299999999999,31.4523,21.0027,28.44533333333333,46.3078,41537
cifar10_alexnet_async_winograd,2,12.822,30.7611,20.735599999999998,28.141444444444446,35.9156,41535
