Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_alexnet_async_batch128,1,14.7411,37.3161,23.8767,20.66888889,42.8934,41564
cifar10_alexnet_async_batch128,2,14.1279,30.2014,20.0082,15.85444444,32.8891,41559
cifar10_alexnet_async_batch256,1,14.1275,32.2324,21.7377,17.916,37.0327,41503
cifar10_alexnet_async_batch256,2,12.6727,28.7736,19.2474,19.10155556,34.4687,41359
cifar10_alexnet_async_batch32,1,13.7033,31.8681,19.8414,20.53677778,37.0596,41110
cifar10_alexnet_async_batch32,2,14.0323,33.65,22.7156,20.82077778,39.8508,41199
cifar10_alexnet_async_batch512,1,14.9809,37.612,23.6107,19.70244444,41.3196,41826
cifar10_alexnet_async_batch512,2,15.1018,38.5564,24.4332,21.37233333,42.9046,41871
cifar10_alexnet_async_batch64,1,14.253,32.1253,20.374,19.63788889,38.5294,41089
cifar10_alexnet_async_batch64,2,14.4862,29.7259,19.4701,16.96044444,34.0219,41079
cifar10_alexnet_async_dataFormat,1,15.6078,37.9944,23.9044,21.814,43.6083,41134
cifar10_alexnet_async_dataFormat,2,12.8859,28.2441,20.0923,18.53133333,34.3868,41071
cifar10_alexnet_async_optMomentum,1,15.4833,40.3002,22.5078,22.40511111,43.1973,42061
cifar10_alexnet_async_optMomentum,2,14.9264,39.6781,23.8452,21.23644444,41.0538,41829
cifar10_alexnet_async_optRmsprop,1,13.0638,41.6329,27.2132,21.19966667,45.5392,11779
cifar10_alexnet_async_optRmsprop,2,13.6451,36.5627,19.7993,22.49844444,37.5269,11769
cifar10_alexnet_async_use_fp16,1,21.3466,4865.0204,4865.5512,5.713333333,4869.069,142449
cifar10_alexnet_async_use_fp16,2,21.8747,4878.1599,4881.2166,6.039444444,4884.1515,142397
cifar10_alexnet_async_winograd,1,16.6082,33.789,24.6474,17.59077778,40.8844,41047
cifar10_alexnet_async_winograd,2,17.3285,33.2298,24.0786,18.93288889,39.0182,40993
cifar10_alexnet_async_xla,1,15.563,31.3171,21.6806,16.94377778,37.298,11100
cifar10_alexnet_async_xla,2,14.7849,32.048,22.57,16.16566667,35.6313,11086
cifar10_alexnet_sync_batch128,1,15.2116,39.2819,42.8729,2.790777778,44.5412,11164
cifar10_alexnet_sync_batch128,2,12.9125,37.0398,19.8967,25.69344444,39.6253,11086
cifar10_alexnet_sync_batch256,1,15.883,37.0334,39.9426,2.650111111,40.6978,11275
cifar10_alexnet_sync_batch256,2,14.5584,34.0537,20.839,21.36011111,38.7221,11367
cifar10_alexnet_sync_batch32,1,13.831,37.6028,40.9298,2.498666667,41.2963,11255
cifar10_alexnet_sync_batch32,2,14.1061,33.3163,22.8993,20.60255556,37.451,11301
cifar10_alexnet_sync_batch512,1,16.5335,39.7473,43.015,3.485555556,44.5311,11500
