Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB)
cifar10_alexnet_async_batch128,1,-1E+13,-1E+13,23.8767,20.66888889,42.8934,41564,0
cifar10_alexnet_async_batch128,2,-1E+13,-1E+13,20.0082,15.85444444,32.8891,41559,0
cifar10_alexnet_async_batch256,1,-1E+13,-1E+13,21.7377,17.916,37.0327,41503,35
cifar10_alexnet_async_batch256,2,-1E+13,-1E+13,19.2474,19.10155556,34.4687,41359,66.9375
cifar10_alexnet_async_batch32,1,-1E+13,-1E+13,19.8414,20.53677778,37.0596,41110,841
cifar10_alexnet_async_batch32,2,-1E+13,-1E+13,22.7156,20.82077778,39.8508,41199,840.9375
cifar10_alexnet_async_batch512,1,-1E+13,-1E+13,23.6107,19.70244444,41.3196,41826,3735
cifar10_alexnet_async_batch512,2,-1E+13,-1E+13,24.4332,21.37233333,42.9046,41871,3270.9375
cifar10_alexnet_async_batch64,1,-1E+13,-1E+13,20.374,19.63788889,38.5294,41089,1033
cifar10_alexnet_async_batch64,2,-1E+13,-1E+13,19.4701,16.96044444,34.0219,41079,1032.9375
cifar10_alexnet_async_dataFormat,1,-1E+13,-1E+13,23.9044,21.814,43.6083,41134,973
cifar10_alexnet_async_dataFormat,2,-1E+13,-1E+13,20.0923,18.53133333,34.3868,41071,972.9375
cifar10_alexnet_async_optMomentum,1,-1E+13,-1E+13,22.5078,22.40511111,43.1973,42061,1033
cifar10_alexnet_async_optMomentum,2,-1E+13,-1E+13,23.8452,21.23644444,41.0538,41829,1032.9375
cifar10_alexnet_async_optRmsprop,1,-1E+13,-1E+13,27.2132,21.19966667,45.5392,11779,0
cifar10_alexnet_async_optRmsprop,2,-1E+13,-1E+13,19.7993,22.49844444,37.5269,11769,0
cifar10_alexnet_async_use_fp16,1,-1E+13,-1E+13,4865.5512,5.713333333,4869.069,142449,969
cifar10_alexnet_async_use_fp16,2,-1E+13,-1E+13,4881.2166,6.039444444,4884.1515,142397,968.9375
cifar10_alexnet_async_winograd,1,-1E+13,-1E+13,24.6474,17.59077778,40.8844,41047,1033
cifar10_alexnet_async_winograd,2,-1E+13,-1E+13,24.0786,18.93288889,39.0182,40993,1032.9375
cifar10_alexnet_async_xla,1,-1E+13,-1E+13,21.6806,16.94377778,37.298,11100,1029
cifar10_alexnet_async_xla,2,-1E+13,-1E+13,22.57,16.16566667,35.6313,11086,1032.9375
cifar10_alexnet_sync_batch128,1,-1E+13,-1E+13,23.919,21.31433333,44.5412,11164,1413
cifar10_alexnet_sync_batch128,2,-1E+13,-1E+13,19.8967,25.69344444,39.6253,11086,1292.9375
cifar10_alexnet_sync_batch256,1,-1E+13,-1E+13,21.623,20.855,40.6978,11275,0
cifar10_alexnet_sync_batch256,2,-1E+13,-1E+13,20.839,21.36011111,38.7221,11367,0
cifar10_alexnet_sync_batch32,1,-1E+13,-1E+13,22.6703,21.21877778,41.2963,11255,841
cifar10_alexnet_sync_batch32,2,-1E+13,-1E+13,22.8993,20.60255556,37.451,11301,840.9375
cifar10_alexnet_sync_batch512,1,-1E+13,-1E+13,23.1211,23.10122222,44.5311,11500,3735
cifar10_alexnet_sync_batch512,2,-1E+13,-1E+13,20.1917,26.65455556,42.2892,11543,3734.9375
cifar10_alexnet_sync_batch64,1,-1E+13,-1E+13,23.1772,18.926,40.2466,41001,1033
cifar10_alexnet_sync_batch64,2,-1E+13,-1E+13,18.3662,23.30277778,33.4708,41312,972.9375
cifar10_alexnet_sync_dataFormat,1,-1E+13,-1E+13,22.9455,20.22355556,40.8025,41428,1029
cifar10_alexnet_sync_dataFormat,2,-1E+13,-1E+13,20.5976,22.56588889,39.9486,41020,968.9375
cifar10_alexnet_sync_optMomentum,1,-1E+13,-1E+13,24.2242,25.38633333,48.2732,12408,1033
cifar10_alexnet_sync_optMomentum,2,-1E+13,-1E+13,23.4516,26.00266667,45.8835,12406,1032.9375
cifar10_alexnet_sync_optRmsprop,1,-1E+13,-1E+13,21.0481,28.60177778,48.1526,11941,1033
cifar10_alexnet_sync_optRmsprop,2,-1E+13,-1E+13,20.9973,29.09522222,46.5123,11833,1032.9375
cifar10_alexnet_sync_use_fp16,1,-1E+13,-1E+13,4911.3939,16.90944444,4934.1129,113753,969
cifar10_alexnet_sync_use_fp16,2,-1E+13,-1E+13,4893.63,46.47777778,4897.3879,113698,968.9375
cifar10_alexnet_sync_winograd,1,-1E+13,-1E+13,21.9983,22.42077778,42.8457,41264,1037
cifar10_alexnet_sync_winograd,2,-1E+13,-1E+13,20.3667,24.39788889,36.8673,41449,1032.9375
cifar10_alexnet_sync_xla,1,-1E+13,-1E+13,21.2347,21.00966667,40.407,11147,1033
cifar10_alexnet_sync_xla,2,-1E+13,-1E+13,21.7574,20.52422222,38.838,11194,1032.9375
cifar10_densenet100_k12_async_batch128,1,-1E+13,-1E+13,389.8199,112.3868889,488.6859,76635,0
cifar10_densenet100_k12_async_batch128,2,-1E+13,-1E+13,329.7707,197.0178889,517.3474,76404,0
cifar10_densenet100_k12_async_batch256,1,-1E+13,-1E+13,551.7784,302.3558889,857.9079,88691,357
cifar10_densenet100_k12_async_batch256,2,-1E+13,-1E+13,472.3901,486.7004444,947.5385,88226,362.9375
cifar10_densenet100_k12_async_batch32,1,-1E+13,-1E+13,290.6468,15.13733333,300.4424,68845,4741
cifar10_densenet100_k12_async_batch32,2,-1E+13,-1E+13,335.355,20.997,350.6082,68794,4740.9375
cifar10_densenet100_k12_async_batch64,1,-1E+13,-1E+13,362.0169,45.58366667,407.3244,70459,387
cifar10_densenet100_k12_async_batch64,2,-1E+13,-1E+13,275.657,91.51133333,362.8668,70210,386.9375
cifar10_densenet100_k12_async_dataFormat,1,-1E+13,-1E+13,314.7234,30.19233333,344.4048,70026,387
cifar10_densenet100_k12_async_dataFormat,2,-1E+13,-1E+13,285.7971,53.40622222,333.2056,70021,386.9375
cifar10_densenet100_k12_async_optMomentum,1,-1E+13,-1E+13,328.4858,33.96355556,362.8113,76967,387
cifar10_densenet100_k12_async_optMomentum,2,-1E+13,-1E+13,304.2511,82.98477778,382.2048,76911,386.9375
cifar10_densenet100_k12_async_optRmsprop,1,-1E+13,-1E+13,335.9449,49.54111111,378.0366,84103,8837
cifar10_densenet100_k12_async_optRmsprop,2,-1E+13,-1E+13,321.755,71.77133333,394.2882,84148,388.9375
cifar10_densenet100_k12_async_use_fp16,1,-1E+13,-1E+13,370.8779,36.03944444,400.0271,74002,0
cifar10_densenet100_k12_async_use_fp16,2,-1E+13,-1E+13,328.6128,55.20266667,374.3678,73854,0
cifar10_densenet100_k12_async_winograd,1,-1E+13,-1E+13,303.117,56.01411111,358.4221,70511,0
cifar10_densenet100_k12_async_winograd,2,-1E+13,-1E+13,305.7186,88.02444444,382.9423,70290,0
cifar10_densenet100_k12_async_xla,1,-1E+13,-1E+13,347.1939,23.045,365.3888,70329,8837
cifar10_densenet100_k12_async_xla,2,-1E+13,-1E+13,311.4804,74.21722222,380.8845,70278,418.9375
cifar10_densenet100_k12_sync_batch128,1,-1E+13,-1E+13,360.1401,158.8314444,516.3381,75954,511
cifar10_densenet100_k12_sync_batch128,2,-1E+13,-1E+13,322.9227,198.103,510.7,75698,506.9375
cifar10_densenet100_k12_sync_batch256,1,-1E+13,-1E+13,495.4475,386.3704444,878.822,88228,387
cifar10_densenet100_k12_sync_batch256,2,-1E+13,-1E+13,495.08,381.7744444,872.0731,87779,386.9375
cifar10_densenet100_k12_sync_batch32,1,-1E+13,-1E+13,278.8046,53.91955556,326.8119,69515,4741
cifar10_densenet100_k12_sync_batch32,2,-1E+13,-1E+13,295.2247,28.45733333,316.013,69415,4740.9375
cifar10_densenet100_k12_sync_batch64,1,-1E+13,-1E+13,290.8363,98.55388889,384.8382,71463,389
cifar10_densenet100_k12_sync_batch64,2,-1E+13,-1E+13,317.7734,71.64944444,382.6199,70994,388.9375
cifar10_densenet100_k12_sync_dataFormat,1,-1E+13,-1E+13,307.814,52.50144444,365.0017,70897,8837
cifar10_densenet100_k12_sync_dataFormat,2,-1E+13,-1E+13,301.3472,69.98233333,342.9697,70310,8836.9375
cifar10_densenet100_k12_sync_optMomentum,1,-1E+13,-1E+13,313.1032,72.45622222,387.3505,77310,387
cifar10_densenet100_k12_sync_optMomentum,2,-1E+13,-1E+13,313.6584,79.46677778,384.5414,77393,386.9375
cifar10_densenet100_k12_sync_optRmsprop,1,-1E+13,-1E+13,315.87,80.28755556,391.9998,85642,8837
cifar10_densenet100_k12_sync_optRmsprop,2,-1E+13,-1E+13,302.8301,89.88377778,386.8294,85586,386.9375
cifar10_densenet100_k12_sync_use_fp16,1,-1E+13,-1E+13,361.4256,86.49377778,436.7408,75068,5221
cifar10_densenet100_k12_sync_use_fp16,2,-1E+13,-1E+13,384.071,60.70255556,412.823,75311,5220.9375
cifar10_densenet100_k12_sync_winograd,1,-1E+13,-1E+13,309.1564,86.44911111,397.884,71131,8837
cifar10_densenet100_k12_sync_winograd,2,-1E+13,-1E+13,314.3207,88.64555556,390.1096,71197,8836.9375
cifar10_densenet100_k12_sync_xla,1,-1E+13,-1E+13,292.8766,83.51977778,371.9618,71563,481
cifar10_densenet100_k12_sync_xla,2,-1E+13,-1E+13,299.3689,75.05411111,367.443,71515,468.9375
cifar10_densenet100_k24_async_batch128,1,-1E+13,-1E+13,550.3742,276.0275556,830.8393,87529,387
cifar10_densenet100_k24_async_batch128,2,-1E+13,-1E+13,481.1635,453.0776667,918.8991,87057,386.9375
cifar10_densenet100_k24_async_batch32,1,-1E+13,-1E+13,344.3511,18.44244444,364.8023,71310,387
cifar10_densenet100_k24_async_batch32,2,-1E+13,-1E+13,312.4698,76.917,387.3151,71194,386.9375
cifar10_densenet100_k24_async_batch64,1,-1E+13,-1E+13,401.5287,136.5316667,523.3218,75578,389
cifar10_densenet100_k24_async_batch64,2,-1E+13,-1E+13,344.0226,205.0162222,543.8482,75428,386.9375
cifar10_densenet100_k24_async_dataFormat,1,-1E+13,-1E+13,380.8195,32.09288889,417.7347,43480,387
cifar10_densenet100_k24_async_dataFormat,2,-1E+13,-1E+13,325.0492,119.1495556,443.559,43624,386.9375
cifar10_densenet100_k24_async_optMomentum,1,-1E+13,-1E+13,396.9202,96.93377778,496.9161,82931,387
cifar10_densenet100_k24_async_optMomentum,2,-1E+13,-1E+13,350.0689,183.1982222,525.2623,82599,386.9375
cifar10_densenet100_k24_async_optRmsprop,1,-1E+13,-1E+13,396.4387,114.4402222,496.4869,89743,17029
cifar10_densenet100_k24_async_optRmsprop,2,-1E+13,-1E+13,366.3934,214.6075556,569.8246,89354,17028.9375
cifar10_densenet100_k24_async_use_fp16,1,-1E+13,-1E+13,408.4416,57.58433333,457.4996,78485,0
cifar10_densenet100_k24_async_use_fp16,2,-1E+13,-1E+13,372.6721,107.1497778,478.323,78252,0
cifar10_densenet100_k24_async_winograd,1,-1E+13,-1E+13,384.5541,110.7455556,495.8457,46126,17029
cifar10_densenet100_k24_async_winograd,2,-1E+13,-1E+13,339.7656,197.3704444,545.033,46068,17028.9375
cifar10_densenet100_k24_async_xla,1,-1E+13,-1E+13,451.3069,59.20444444,501.938,74983,0
cifar10_densenet100_k24_async_xla,2,-1E+13,-1E+13,337.0953,186.9571111,524.1443,74982,0
cifar10_densenet100_k24_sync_batch128,1,-1E+13,-1E+13,493.2406,353.8864444,845.9356,3,29
cifar10_densenet100_k24_sync_batch128,2,-1E+13,-1E+13,482.8863,374.0574444,842.579,55785,28.9375
cifar10_densenet100_k24_sync_batch32,1,-1E+13,-1E+13,327.2634,74.55088889,409.0146,71201,8837
cifar10_densenet100_k24_sync_batch32,2,-1E+13,-1E+13,324.3492,89.02288889,399.9996,71145,8836.9375
cifar10_densenet100_k24_sync_batch64,1,-1E+13,-1E+13,409.6397,141.9728889,549.7115,76178,33
cifar10_densenet100_k24_sync_batch64,2,-1E+13,-1E+13,385.9379,168.9724444,544.821,76223,32.9375
cifar10_densenet100_k24_sync_dataFormat,1,-1E+13,-1E+13,334.009,125.2727778,454.6185,74704,0
cifar10_densenet100_k24_sync_dataFormat,2,-1E+13,-1E+13,330.7104,118.7662222,451.0197,74605,0
cifar10_densenet100_k24_sync_optMomentum,1,-1E+13,-1E+13,353.4109,183.5518889,531.2603,51863,387
cifar10_densenet100_k24_sync_optMomentum,2,-1E+13,-1E+13,368.7964,167.4596667,526.7078,51585,386.9375
cifar10_densenet100_k24_sync_optRmsprop,1,-1E+13,-1E+13,380.3772,159.4678889,535.8821,89987,31
cifar10_densenet100_k24_sync_optRmsprop,2,-1E+13,-1E+13,379.1742,159.1171111,528.1662,89922,30.9375
cifar10_densenet100_k24_sync_use_fp16,1,-1E+13,-1E+13,359.5247,107.4216667,465.195,78746,8837
cifar10_densenet100_k24_sync_use_fp16,2,-1E+13,-1E+13,376.9017,94.28522222,451.9395,78684,8836.9375
cifar10_densenet100_k24_sync_winograd,1,-1E+13,-1E+13,365.5517,167.956,533.6152,46465,35
cifar10_densenet100_k24_sync_winograd,2,-1E+13,-1E+13,383.2621,154.4584444,529.6185,46390,34.9375
cifar10_densenet100_k24_sync_xla,1,-1E+13,-1E+13,373.8704,169.6977778,538.0035,76083,17029
cifar10_densenet100_k24_sync_xla,2,-1E+13,-1E+13,387.6568,152.9947778,534.5339,75643,17028.9375
cifar10_densenet40_k12_async_batch128,1,-1E+13,-1E+13,132.5437,21.786,151.5042,52002,2757
cifar10_densenet40_k12_async_batch128,2,-1E+13,-1E+13,144.5684,28.03866667,167.8477,51950,2756.9375
cifar10_densenet40_k12_async_batch256,1,-1E+13,-1E+13,166.3085,27.26477778,193.2858,54051,4871
cifar10_densenet40_k12_async_batch256,2,-1E+13,-1E+13,121.7739,88.46077778,212.2669,53999,4878.9375
cifar10_densenet40_k12_async_batch32,1,-1E+13,-1E+13,136.0191,5.346,138.6211,21201,1173
cifar10_densenet40_k12_async_batch32,2,-1E+13,-1E+13,122.531,15.10244444,133.2399,21195,1172.9375
cifar10_densenet40_k12_async_batch512,1,-1E+13,-1E+13,270.8254,52.26711111,316.3075,58272,717
cifar10_densenet40_k12_async_batch512,2,-1E+13,-1E+13,150.573,179.4018889,347.3308,58407,744.9375
cifar10_densenet40_k12_async_batch64,1,-1E+13,-1E+13,121.1362,7.870111111,127.7254,51273,12
cifar10_densenet40_k12_async_batch64,2,-1E+13,-1E+13,128.6003,10.61266667,136.6349,51039,11.9375
cifar10_densenet40_k12_async_dataFormat,1,-1E+13,-1E+13,140.2154,6.102555556,144.7381,20988,0
cifar10_densenet40_k12_async_dataFormat,2,-1E+13,-1E+13,130.8102,11.04544444,137.1768,20894,0
cifar10_densenet40_k12_async_optMomentum,1,-1E+13,-1E+13,129.0648,7.393555556,133.7262,53629,12
cifar10_densenet40_k12_async_optMomentum,2,-1E+13,-1E+13,142.0746,17.65411111,155.2736,53388,11.9375
