Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB)
cifar10_alexnet_async_batch128,1,0,0,0,0,0,0,1293.0
cifar10_alexnet_async_batch128,2,0,0,0,0,0,0,1292.9375
cifar10_alexnet_async_batch256,1,0,0,0,0,0,0,2191.0
cifar10_alexnet_async_batch256,2,0,0,0,0,0,0,1958.9375
cifar10_alexnet_async_batch32,1,0,0,0,0,0,0,841.0
cifar10_alexnet_async_batch32,2,0,0,0,0,0,0,840.9375
cifar10_alexnet_async_batch512,1,0,0,0,0,0,0,3735.0
cifar10_alexnet_async_batch512,2,0,0,0,0,0,0,3734.9375
cifar10_alexnet_async_batch64,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_async_batch64,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_async_dataFormat,1,0,0,0,0,0,0,969.0
cifar10_alexnet_async_dataFormat,2,0,0,0,0,0,0,1028.9375
cifar10_alexnet_async_optMomentum,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_async_optMomentum,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_async_optRmsprop,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_async_optRmsprop,2,0,0,0,0,0,0,1028.9375
cifar10_alexnet_async_use_fp16,1,0,0,0,0,0,0,969.0
cifar10_alexnet_async_use_fp16,2,0,0,0,0,0,0,968.9375
cifar10_alexnet_async_winograd,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_async_winograd,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_async_xla,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_async_xla,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_sync_batch128,1,0,0,0,0,0,0,1293.0
cifar10_alexnet_sync_batch128,2,0,0,0,0,0,0,1292.9375
cifar10_alexnet_sync_batch256,1,0,0,0,0,0,0,2191.0
cifar10_alexnet_sync_batch256,2,0,0,0,0,0,0,1958.9375
cifar10_alexnet_sync_batch32,1,0,0,0,0,0,0,841.0
cifar10_alexnet_sync_batch32,2,0,0,0,0,0,0,840.9375
cifar10_alexnet_sync_batch512,1,0,0,0,0,0,0,3735.0
cifar10_alexnet_sync_batch512,2,0,0,0,0,0,0,3734.9375
cifar10_alexnet_sync_batch64,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_sync_batch64,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_sync_dataFormat,1,0,0,0,0,0,0,973.0
cifar10_alexnet_sync_dataFormat,2,0,0,0,0,0,0,968.9375
cifar10_alexnet_sync_optMomentum,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_sync_optMomentum,2,0,0,0,0,0,0,1036.9375
cifar10_alexnet_sync_optRmsprop,1,0,0,0,0,0,0,1029.0
cifar10_alexnet_sync_optRmsprop,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_sync_use_fp16,1,0,0,0,0,0,0,969.0
cifar10_alexnet_sync_use_fp16,2,0,0,0,0,0,0,968.9375
cifar10_alexnet_sync_winograd,1,0,0,0,0,0,0,1029.0
cifar10_alexnet_sync_winograd,2,0,0,0,0,0,0,1032.9375
cifar10_alexnet_sync_xla,1,0,0,0,0,0,0,1033.0
cifar10_alexnet_sync_xla,2,0,0,0,0,0,0,1032.9375
cifar10_densenet100_k12_async_batch128,1,0,0,0,0,0,0,17093.0
cifar10_densenet100_k12_async_batch128,2,0,0,0,0,0,0,17092.9375
cifar10_densenet100_k12_async_batch256,1,0,0,0,0,0,0,31137.0
cifar10_densenet100_k12_async_batch256,2,0,0,0,0,0,0,31136.9375
cifar10_densenet100_k12_async_batch32,1,0,0,0,0,0,0,4741.0
cifar10_densenet100_k12_async_batch32,2,0,0,0,0,0,0,4740.9375
cifar10_densenet100_k12_async_batch64,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_async_batch64,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_async_dataFormat,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_async_dataFormat,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_async_optMomentum,1,0,0,0,0,0,0,8869.0
cifar10_densenet100_k12_async_optMomentum,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_async_optRmsprop,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_async_optRmsprop,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_async_use_fp16,1,0,0,0,0,0,0,5221.0
cifar10_densenet100_k12_async_use_fp16,2,0,0,0,0,0,0,5220.9375
cifar10_densenet100_k12_async_winograd,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_async_winograd,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_async_xla,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_async_xla,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_sync_batch128,1,0,0,0,0,0,0,17093.0
cifar10_densenet100_k12_sync_batch128,2,0,0,0,0,0,0,17092.9375
cifar10_densenet100_k12_sync_batch256,1,0,0,0,0,0,0,31137.0
cifar10_densenet100_k12_sync_batch256,2,0,0,0,0,0,0,31136.9375
cifar10_densenet100_k12_sync_batch32,1,0,0,0,0,0,0,4741.0
cifar10_densenet100_k12_sync_batch32,2,0,0,0,0,0,0,4740.9375
cifar10_densenet100_k12_sync_batch64,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_sync_batch64,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_sync_dataFormat,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_sync_dataFormat,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_sync_optMomentum,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_sync_optMomentum,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_sync_optRmsprop,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_sync_optRmsprop,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_sync_use_fp16,1,0,0,0,0,0,0,5221.0
cifar10_densenet100_k12_sync_use_fp16,2,0,0,0,0,0,0,5220.9375
cifar10_densenet100_k12_sync_winograd,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_sync_winograd,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k12_sync_xla,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k12_sync_xla,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k24_async_batch128,1,0,0,0,0,0,0,31137.0
cifar10_densenet100_k24_async_batch128,2,0,0,0,0,0,0,31136.9375
cifar10_densenet100_k24_async_batch32,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k24_async_batch32,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k24_async_batch64,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_async_batch64,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_async_dataFormat,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_async_dataFormat,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_async_optMomentum,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_async_optMomentum,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_async_optRmsprop,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_async_optRmsprop,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_async_use_fp16,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k24_async_use_fp16,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k24_async_winograd,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_async_winograd,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_async_xla,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_async_xla,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_batch128,1,0,0,0,0,0,0,31137.0
cifar10_densenet100_k24_sync_batch128,2,0,0,0,0,0,0,31136.9375
cifar10_densenet100_k24_sync_batch32,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k24_sync_batch32,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k24_sync_batch64,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_batch64,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_dataFormat,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_dataFormat,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_optMomentum,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_optMomentum,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_optRmsprop,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_optRmsprop,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_use_fp16,1,0,0,0,0,0,0,8837.0
cifar10_densenet100_k24_sync_use_fp16,2,0,0,0,0,0,0,8836.9375
cifar10_densenet100_k24_sync_winograd,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_winograd,2,0,0,0,0,0,0,17028.9375
cifar10_densenet100_k24_sync_xla,1,0,0,0,0,0,0,17029.0
cifar10_densenet100_k24_sync_xla,2,0,0,0,0,0,0,17028.9375
cifar10_densenet40_k12_async_batch128,1,0,0,0,0,0,0,2757.0
cifar10_densenet40_k12_async_batch128,2,0,0,0,0,0,0,2756.9375
cifar10_densenet40_k12_async_batch256,1,0,0,0,0,0,0,4871.0
cifar10_densenet40_k12_async_batch256,2,0,0,0,0,0,0,4870.9375
