Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,alexnet,async,batch128,1,14.7411,37.3161,23.8767,20.66888889,42.8934,41564,0,,,,
cifar10,alexnet,async,batch128,2,14.1279,30.2014,20.0082,15.85444444,32.8891,41559,0,,시나리오 1,,
cifar10,alexnet,async,batch256,1,14.1275,32.2324,21.7377,17.916,37.0327,41503,35,,Q 안에서 job의 순서를 바꾼다,,
cifar10,alexnet,async,batch256,2,12.6727,28.7736,19.2474,19.10155556,34.4687,41359,66.9375,,시나리오 2,,
cifar10,alexnet,async,batch32,1,13.7033,31.8681,19.8414,20.53677778,37.0596,41110,841,,"Job 순서는 안바꾸지만, 어떤 GPU에 할당할지 고른다.",,
cifar10,alexnet,async,batch32,2,14.0323,33.65,22.7156,20.82077778,39.8508,41199,840.9375,,"고려할때는 memory와, 기존 job의 idle time을 고려한다.",,
cifar10,alexnet,async,batch512,1,14.9809,37.612,23.6107,19.70244444,41.3196,41826,3735,,,,
cifar10,alexnet,async,batch512,2,15.1018,38.5564,24.4332,21.37233333,42.9046,41871,3270.9375,,random job generator -> na?ve하게 돌리는경우,,
cifar10,alexnet,async,batch64,1,14.253,32.1253,20.374,19.63788889,38.5294,41089,1033,,,,위 두개를 고려해서 돌리는 경우
cifar10,alexnet,async,batch64,2,14.4862,29.7259,19.4701,16.96044444,34.0219,41079,1032.9375,,,,
cifar10,alexnet,async,dataFormat,1,15.6078,37.9944,23.9044,21.814,43.6083,41134,973,,benchmark 워크로드 말고 다른 워크로드도 돌려보면 좋을 것 같다. ,,
cifar10,alexnet,async,dataFormat,2,12.8859,28.2441,20.0923,18.53133333,34.3868,41071,972.9375,,,,
cifar10,alexnet,async,optMomentum,1,15.4833,40.3002,22.5078,22.40511111,43.1973,42061,1033,,,,
cifar10,alexnet,async,optMomentum,2,14.9264,39.6781,23.8452,21.23644444,41.0538,41829,1032.9375,,,,
cifar10,alexnet,async,optRmsprop,1,13.0638,41.6329,27.2132,21.19966667,45.5392,11779,0,,,,
cifar10,alexnet,async,optRmsprop,2,13.6451,36.5627,19.7993,22.49844444,37.5269,11769,0,,,,
cifar10,alexnet,async,usefp16,1,21.3466,4865.0204,4865.5512,5.713333333,4869.069,142449,969,,,,
cifar10,alexnet,async,usefp16,2,21.8747,4878.1599,4881.2166,6.039444444,4884.1515,142397,968.9375,,,,
